"","site","hour","AVG_NO2","X","site_network_id","site_name","variable","date_started","date_ended","site_type","latitude","longitude","data_table","database_name"
"60","gib2",19,8.19642857142857,6,6,"Bleak House","no2","2005-02-02",NA,"urban_background",36.112824,-5.350188,"measurement","gibraltar"
"61","gi4",20,85.5160714285714,35,304,"Withams Road","no2","2008-05-15",NA,"roadside",36.128068,-5.351246,"measurement","gibraltar"
"62","gib1",20,27.3214285714286,27,2,"Rosia Road","no2","2005-02-02",NA,"roadside",36.133317,-5.353175,"measurement","gibraltar"
"63","gib2",20,9.5625,6,6,"Bleak House","no2","2005-02-02",NA,"urban_background",36.112824,-5.350188,"measurement","gibraltar"
"64","gi4",21,72.675,35,304,"Withams Road","no2","2008-05-15",NA,"roadside",36.128068,-5.351246,"measurement","gibraltar"
"65","gib1",21,22.95,27,2,"Rosia Road","no2","2005-02-02",NA,"roadside",36.133317,-5.353175,"measurement","gibraltar"
"66","gib2",21,10.3821428571429,6,6,"Bleak House","no2","2005-02-02",NA,"urban_background",36.112824,-5.350188,"measurement","gibraltar"
"67","gi4",22,61.2,35,304,"Withams Road","no2","2008-05-15",NA,"roadside",36.128068,-5.351246,"measurement","gibraltar"
"68","gib1",22,19.9446428571429,27,2,"Rosia Road","no2","2005-02-02",NA,"roadside",36.133317,-5.353175,"measurement","gibraltar"
"69","gib2",22,11.475,6,6,"Bleak House","no2","2005-02-02",NA,"urban_background",36.112824,-5.350188,"measurement","gibraltar"
