"","date","date_end","site","site_name","no2"
"150",2016-05-08 12:00:00,2016-05-08 13:00:00,"gi4","Withams Road",19.125
"151",2016-05-08 13:00:00,2016-05-08 14:00:00,"gi4","Withams Road",19.125
"152",2016-05-08 14:00:00,2016-05-08 15:00:00,"gi4","Withams Road",24.8625
"153",2016-05-08 15:00:00,2016-05-08 16:00:00,"gi4","Withams Road",22.95
"154",2016-05-08 16:00:00,2016-05-08 17:00:00,"gi4","Withams Road",38.25
"155",2016-05-08 17:00:00,2016-05-08 18:00:00,"gi4","Withams Road",30.6
"156",2016-05-08 18:00:00,2016-05-08 19:00:00,"gi4","Withams Road",26.775
"157",2016-05-08 19:00:00,2016-05-08 20:00:00,"gi4","Withams Road",28.6875
"158",2016-05-08 20:00:00,2016-05-08 21:00:00,"gi4","Withams Road",21.0375
"159",2016-05-08 21:00:00,2016-05-08 22:00:00,"gi4","Withams Road",34.425
"160",2016-05-08 22:00:00,2016-05-08 23:00:00,"gi4","Withams Road",22.95
"161",2016-05-09 00:00:00,2016-05-09 01:00:00,"gi4","Withams Road",11.475
"162",2016-05-09 01:00:00,2016-05-09 02:00:00,"gi4","Withams Road",5.7375
"163",2016-05-09 02:00:00,2016-05-09 03:00:00,"gi4","Withams Road",5.7375
"164",2016-05-09 03:00:00,2016-05-09 04:00:00,"gi4","Withams Road",7.65
"165",2016-05-09 04:00:00,2016-05-09 05:00:00,"gi4","Withams Road",5.7375
"166",2016-05-09 05:00:00,2016-05-09 06:00:00,"gi4","Withams Road",5.7375
"167",2016-05-09 06:00:00,2016-05-09 07:00:00,"gi4","Withams Road",7.65
"168",2016-05-09 07:00:00,2016-05-09 08:00:00,"gi4","Withams Road",21.0375
"169",2016-05-09 08:00:00,2016-05-09 09:00:00,"gi4","Withams Road",26.775
"170",2016-05-09 09:00:00,2016-05-09 10:00:00,"gi4","Withams Road",30.6
"171",2016-05-09 10:00:00,2016-05-09 11:00:00,"gi4","Withams Road",17.2125
"172",2016-05-09 11:00:00,2016-05-09 12:00:00,"gi4","Withams Road",11.475
"173",2016-05-09 12:00:00,2016-05-09 13:00:00,"gi4","Withams Road",13.3875
"174",2016-05-09 13:00:00,2016-05-09 14:00:00,"gi4","Withams Road",40.1625
"175",2016-05-09 14:00:00,2016-05-09 15:00:00,"gi4","Withams Road",24.8625
"176",2016-05-09 15:00:00,2016-05-09 16:00:00,"gi4","Withams Road",22.95
"177",2016-05-09 16:00:00,2016-05-09 17:00:00,"gi4","Withams Road",82.2375
"178",NA,NA,"gi4","Withams Road",61.2
"179",2016-05-02 00:00:00,2016-05-02 01:00:00,"gib1","Rosia Road",11.475
"180",2016-05-02 01:00:00,2016-05-02 02:00:00,"gib1","Rosia Road",9.5625
"181",2016-05-02 02:00:00,2016-05-02 03:00:00,"gib1","Rosia Road",9.5625
"182",2016-05-02 03:00:00,2016-05-02 04:00:00,"gib1","Rosia Road",3.825
"183",2016-05-02 04:00:00,2016-05-02 05:00:00,"gib1","Rosia Road",3.825
"184",2016-05-02 05:00:00,2016-05-02 06:00:00,"gib1","Rosia Road",3.825
"185",2016-05-02 06:00:00,2016-05-02 07:00:00,"gib1","Rosia Road",7.65
"186",2016-05-02 07:00:00,2016-05-02 08:00:00,"gib1","Rosia Road",7.65
"187",2016-05-02 08:00:00,2016-05-02 09:00:00,"gib1","Rosia Road",9.5625
"188",2016-05-02 09:00:00,2016-05-02 10:00:00,"gib1","Rosia Road",9.5625
"189",2016-05-02 10:00:00,2016-05-02 11:00:00,"gib1","Rosia Road",11.475
"190",2016-05-02 11:00:00,2016-05-02 12:00:00,"gib1","Rosia Road",11.475
"191",2016-05-02 12:00:00,2016-05-02 13:00:00,"gib1","Rosia Road",13.3875
"192",2016-05-02 13:00:00,2016-05-02 14:00:00,"gib1","Rosia Road",9.5625
"193",2016-05-02 14:00:00,2016-05-02 15:00:00,"gib1","Rosia Road",9.5625
"194",2016-05-02 15:00:00,2016-05-02 16:00:00,"gib1","Rosia Road",9.5625
"195",2016-05-02 16:00:00,2016-05-02 17:00:00,"gib1","Rosia Road",13.3875
"196",2016-05-02 17:00:00,2016-05-02 18:00:00,"gib1","Rosia Road",15.3
"197",2016-05-02 18:00:00,2016-05-02 19:00:00,"gib1","Rosia Road",22.95
"198",2016-05-02 19:00:00,2016-05-02 20:00:00,"gib1","Rosia Road",30.6
"199",2016-05-02 20:00:00,2016-05-02 21:00:00,"gib1","Rosia Road",32.5125
"200",2016-05-02 21:00:00,2016-05-02 22:00:00,"gib1","Rosia Road",26.775
"201",2016-05-02 22:00:00,2016-05-02 23:00:00,"gib1","Rosia Road",28.6875
"202",2016-05-03 00:00:00,2016-05-03 01:00:00,"gib1","Rosia Road",15.3
"203",2016-05-03 01:00:00,2016-05-03 02:00:00,"gib1","Rosia Road",9.5625
"204",2016-05-03 02:00:00,2016-05-03 03:00:00,"gib1","Rosia Road",9.5625
"205",2016-05-03 03:00:00,2016-05-03 04:00:00,"gib1","Rosia Road",9.5625
"206",2016-05-03 04:00:00,2016-05-03 05:00:00,"gib1","Rosia Road",17.2125
"207",2016-05-03 05:00:00,2016-05-03 06:00:00,"gib1","Rosia Road",15.3
"208",2016-05-03 06:00:00,2016-05-03 07:00:00,"gib1","Rosia Road",26.775
"209",2016-05-03 07:00:00,2016-05-03 08:00:00,"gib1","Rosia Road",34.425
"210",2016-05-03 08:00:00,2016-05-03 09:00:00,"gib1","Rosia Road",30.6
"211",2016-05-03 09:00:00,2016-05-03 10:00:00,"gib1","Rosia Road",26.775
"212",2016-05-03 10:00:00,2016-05-03 11:00:00,"gib1","Rosia Road",28.6875
"213",2016-05-03 11:00:00,2016-05-03 12:00:00,"gib1","Rosia Road",26.775
"214",2016-05-03 12:00:00,2016-05-03 13:00:00,"gib1","Rosia Road",28.6875
"215",2016-05-03 13:00:00,2016-05-03 14:00:00,"gib1","Rosia Road",24.8625
"216",2016-05-03 14:00:00,2016-05-03 15:00:00,"gib1","Rosia Road",28.6875
"217",2016-05-03 15:00:00,2016-05-03 16:00:00,"gib1","Rosia Road",22.95
"218",2016-05-03 16:00:00,2016-05-03 17:00:00,"gib1","Rosia Road",30.6
"219",2016-05-03 17:00:00,2016-05-03 18:00:00,"gib1","Rosia Road",26.775
"220",2016-05-03 18:00:00,2016-05-03 19:00:00,"gib1","Rosia Road",19.125
"221",2016-05-03 19:00:00,2016-05-03 20:00:00,"gib1","Rosia Road",21.0375
"222",2016-05-03 20:00:00,2016-05-03 21:00:00,"gib1","Rosia Road",13.3875
"223",2016-05-03 21:00:00,2016-05-03 22:00:00,"gib1","Rosia Road",11.475
"224",2016-05-03 22:00:00,2016-05-03 23:00:00,"gib1","Rosia Road",13.3875
"225",2016-05-04 00:00:00,2016-05-04 01:00:00,"gib1","Rosia Road",5.7375
"226",2016-05-04 01:00:00,2016-05-04 02:00:00,"gib1","Rosia Road",5.7375
"227",2016-05-04 02:00:00,2016-05-04 03:00:00,"gib1","Rosia Road",3.825
