"","site_network_id","site","site_name","variable","date_started","date_ended","site_type","latitude","longitude","data_table","database_name"
"65",171,"gib15","Catalan Bay Road","ethbenz",2005-02-02,NA,"suburban",36.142964,-5.340263,"md_measurement","gibraltar"
"66",317,"gi7","Cemetery Office","rh",2013-12-02,NA,"suburban",36.147994,-5.344681,"measurement","gibraltar"
"67",315,"gi7","Cemetery Office","pres",2013-09-20,NA,"suburban",36.147994,-5.344681,"measurement","gibraltar"
"68",320,"gi7","Cemetery Office","temp",2013-12-02,NA,"suburban",36.147994,-5.344681,"measurement","gibraltar"
"69",316,"gi7","Cemetery Office","rain",2013-12-02,NA,"suburban",36.147994,-5.344681,"measurement","gibraltar"
"70",318,"gi7","Cemetery Office","sol",2013-12-02,NA,"suburban",36.147994,-5.344681,"measurement","gibraltar"
"71",314,"gi7","Cemetery Office","wd",2013-12-02,NA,"suburban",36.147994,-5.344681,"measurement","gibraltar"
"72",319,"gi7","Cemetery Office","ws",2013-12-02,NA,"suburban",36.147994,-5.344681,"measurement","gibraltar"
"73",249,"gib25","Churchill House","no2",2007-01-30,NA,"roadside",36.127987,-5.351273,"md_measurement","gibraltar"
"74",141,"gib4","Devils Tower Road","mpxylene",2005-02-02,NA,"kerbside",36.146991,-5.344171,"md_measurement","gibraltar"
"75",142,"gib4","Devils Tower Road","oxylene",2005-02-02,NA,"kerbside",36.146991,-5.344171,"md_measurement","gibraltar"
"76",139,"gib4","Devils Tower Road","benzene",2005-02-02,NA,"kerbside",36.146991,-5.344171,"md_measurement","gibraltar"
"77",144,"gib4","Devils Tower Road","no2",2005-02-02,NA,"kerbside",36.146991,-5.344171,"md_measurement","gibraltar"
"78",143,"gib4","Devils Tower Road","toluene",2005-02-02,NA,"kerbside",36.146991,-5.344171,"md_measurement","gibraltar"
"79",140,"gib4","Devils Tower Road","ethbenz",2005-02-02,NA,"kerbside",36.146991,-5.344171,"md_measurement","gibraltar"
"80",255,"gib31","Dockyard Road","no2",2007-01-30,NA,"kerbside",36.129757,-5.353104,"md_measurement","gibraltar"
"81",31,"smso202","DTI Garage","so2",2000-01-01,2000-01-01,NA,NA,NA,"measurement","gibraltar"
"82",30,"smso202","DTI Garage","bs",2000-01-01,2000-01-01,NA,NA,NA,"measurement","gibraltar"
"83",29,"smso201","EA Ltd","so2",2000-01-01,2000-01-01,NA,NA,NA,"measurement","gibraltar"
