"","modelbaseversion","suppliercountry","suppliernationalidentifier","publicationlanguage","publicationtime","publicationcountry","publicationnationalidentifier","situationid","situationconfidentiality","situationinformationstatus","situationurgency","situationrecordid","situationrecordcreationtime","situationrecordversion","situationrecordversiontime","situationrecordfirstsupplierversiontime","probabilityofoccurrence","validitystatus","overallstarttime","delaytimevalue","openlrbinary","openlrversion","alertceventcode","abnormaltraffictype","averagespeed","effectonroadlayout","roadmaintenancetype","roadmaintenancevalue","roadmaintenancelang","constructionworktype","networkmanagementtype","vehicleobstructiontype","accidenttype","obstructiontype","environmentalobstructiontype","poorenvironmenttype"
"21",1,"nl","TomTom Traffic Service","en",2016-04-13 11:43:30,"other","76624715-56b0-46f7-a8cc-567fb22069ce","TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL144944884416144","internalUse","real","urgent","TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL144944884416144-1",2016-04-13 07:30:30,32,2016-04-13 11:43:30,2016-04-13 11:43:30,"probable","active",2016-04-13 07:30:30,788,"C/wxTBm16gw0DQI8/4sKIBA=",3,101,"stationaryTraffic",3,"","","","","","","","","","",""
"22",1,"nl","TomTom Traffic Service","en",2016-04-13 11:59:30,"other","76624715-56b0-46f7-a8cc-567fb22069ce","TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL144944884416144","internalUse","real","urgent","TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL144944884416144-1",2016-04-13 07:30:30,33,2016-04-13 11:59:30,2016-04-13 11:59:30,"probable","active",2016-04-13 07:30:30,762,"C/wxTBm16gw0DAJG/9wLAA==",3,101,"stationaryTraffic",3,"","","","","","","","","","",""
"23",1,"nl","TomTom Traffic Service","en",2016-04-13 12:13:30,"other","76624715-56b0-46f7-a8cc-567fb22069ce","TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL144963351104144","internalUse","real","urgent","TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL144963351104144-1",2016-04-13 12:00:00,2,2016-04-13 12:13:30,2016-04-13 12:13:30,"probable","active",2016-04-13 12:00:00,256,"C/wyKBm0lAoxCv5M/xkMQws=",3,108,"queueingTraffic",6,"","","","","","","","","","",""
"24",1,"nl","TomTom Traffic Service","en",2016-04-13 12:13:30,"other","76624715-56b0-46f7-a8cc-567fb22069ce","TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL144944884416144","internalUse","real","urgent","TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL144944884416144-1",2016-04-13 07:30:30,36,2016-04-13 12:13:30,2016-04-13 12:13:30,"probable","active",2016-04-13 07:30:30,697,"C/wxUxm13gooCwI4//cLAA==",3,101,"stationaryTraffic",3,"","","","","","","","","","",""
"25",1,"nl","TomTom Traffic Service","en",2016-04-13 12:29:00,"other","76624715-56b0-46f7-a8cc-567fb22069ce","TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL144963351104144","internalUse","real","urgent","TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL144963351104144-1",2016-04-13 12:00:00,3,2016-04-13 12:29:00,2016-04-13 12:29:00,"probable","active",2016-04-13 12:00:00,274,"C/wyKBm0lAoxCv5M/xkMQws=",3,108,"queueingTraffic",6,"","","","","","","","","","",""
"26",1,"nl","TomTom Traffic Service","en",2016-04-13 12:29:00,"other","76624715-56b0-46f7-a8cc-567fb22069ce","TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL144944884416144","internalUse","real","urgent","TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL144944884416144-1",2016-04-13 07:30:30,36,2016-04-13 12:29:00,2016-04-13 12:29:00,"probable","active",2016-04-13 07:30:30,697,"C/wxUxm13gooCwI4//cLAA==",3,101,"stationaryTraffic",3,"","","","","","","","","","",""
"27",1,"nl","TomTom Traffic Service","en",2016-04-13 12:44:00,"other","76624715-56b0-46f7-a8cc-567fb22069ce","TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL144963351065616","internalUse","real","urgent","TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL144963351065616-1",2016-04-13 12:00:00,2,2016-04-13 12:44:00,2016-04-13 12:44:00,"probable","active",2016-04-13 12:00:00,197,"C/wx0hm0Rgs6Bf8E/8EMAw==",3,101,"stationaryTraffic",5,"","","","","","","","","","",""
"28",1,"nl","TomTom Traffic Service","en",2016-04-13 12:44:00,"other","76624715-56b0-46f7-a8cc-567fb22069ce","TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL144944884416144","internalUse","real","urgent","TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL144944884416144-1",2016-04-13 07:30:30,38,2016-04-13 12:44:00,2016-04-13 12:44:00,"probable","active",2016-04-13 07:30:30,763,"C/wxVRm14gw+DAIy/+0LIA0=",3,101,"stationaryTraffic",3,"","","","","","","","","","",""
"29",1,"nl","TomTom Traffic Service","en",2016-04-13 12:59:00,"other","76624715-56b0-46f7-a8cc-567fb22069ce","TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL144963351065616","internalUse","real","urgent","TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL144963351065616-1",2016-04-13 12:00:00,2,2016-04-13 12:59:00,2016-04-13 12:59:00,"probable","active",2016-04-13 12:00:00,197,"C/wx0hm0Rgs6Bf8E/8EMAw==",3,101,"stationaryTraffic",5,"","","","","","","","","","",""
"30",1,"nl","TomTom Traffic Service","en",2016-04-13 12:59:00,"other","76624715-56b0-46f7-a8cc-567fb22069ce","TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL144944884416144","internalUse","real","urgent","TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL144944884416144-1",2016-04-13 07:30:30,41,2016-04-13 12:59:00,2016-04-13 12:59:00,"probable","active",2016-04-13 07:30:30,697,"C/wxUxm13gooCwI4//cLAA==",3,101,"stationaryTraffic",3,"","","","","","","","","","",""
"31",1,"nl","TomTom Traffic Service","en",2016-04-13 13:14:00,"other","76624715-56b0-46f7-a8cc-567fb22069ce","TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL144944884416144","internalUse","real","urgent","TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL144944884416144-1",2016-04-13 07:30:30,42,2016-04-13 13:14:00,2016-04-13 13:14:00,"probable","active",2016-04-13 07:30:30,722,"C/wxUxm13gooDAIu/6YKIBI=",3,101,"stationaryTraffic",3,"","","","","","","","","","",""
"32",1,"nl","TomTom Traffic Service","en",2016-04-14 09:14:35,"other","76624715-56b0-46f7-a8cc-567fb22069ce","TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL144944884416144","internalUse","real","urgent","TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL144944884416144-1",2016-04-14 09:11:30,1,2016-04-14 09:14:35,2016-04-14 09:14:35,"probable","active",2016-04-14 09:11:30,778,"C/wxRxm15wwwDQJI/5MKIA4=",3,101,"stationaryTraffic",3,"","","","","","","","","","",""
"33",1,"nl","TomTom Traffic Service","en",2016-04-14 09:29:30,"other","76624715-56b0-46f7-a8cc-567fb22069ce","TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL144944884416144","internalUse","real","urgent","TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL144944884416144-1",2016-04-14 09:11:30,3,2016-04-14 09:29:30,2016-04-14 09:29:30,"probable","active",2016-04-14 09:11:30,824,"C/wxURm16gw4DQIx/4sKIAY=",3,101,"stationaryTraffic",3,"","","","","","","","","","",""
"34",1,"nl","TomTom Traffic Service","en",2016-04-14 09:43:30,"other","76624715-56b0-46f7-a8cc-567fb22069ce","TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL144944884416144","internalUse","real","urgent","TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL144944884416144-1",2016-04-14 09:11:30,4,2016-04-14 09:43:30,2016-04-14 09:43:30,"probable","active",2016-04-14 09:11:30,571,"C/wxURm16gw4DQIx/4sKIBA=",3,101,"stationaryTraffic",4,"","","","","","","","","","",""
"35",1,"nl","TomTom Traffic Service","en",2016-04-14 09:59:00,"other","76624715-56b0-46f7-a8cc-567fb22069ce","TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL144944884416144","internalUse","real","urgent","TTI-76624715-56b0-46f7-a8cc-567fb22069ce-TTL144944884416144-1",2016-04-14 09:11:30,5,2016-04-14 09:59:00,2016-04-14 09:59:00,"probable","active",2016-04-14 09:11:30,587,"C/wxVRm14gw+DgIo/5wKIBA=",3,101,"stationaryTraffic",4,"","","","","","","","","","",""
