"","date","date_end","site","site_name","no2"
"136",2016-05-03 20:00:00,2016-05-03 21:00:00,"gi4","Withams Road",166.3875
"137",2016-05-03 21:00:00,2016-05-03 22:00:00,"gi4","Withams Road",149.175
"138",2016-05-03 22:00:00,2016-05-03 23:00:00,"gi4","Withams Road",101.3625
"139",2016-05-04 00:00:00,2016-05-04 01:00:00,"gi4","Withams Road",57.375
"140",2016-05-04 01:00:00,2016-05-04 02:00:00,"gi4","Withams Road",61.2
"141",2016-05-04 02:00:00,2016-05-04 03:00:00,"gi4","Withams Road",49.725
"142",2016-05-04 03:00:00,2016-05-04 04:00:00,"gi4","Withams Road",36.3375
"143",2016-05-04 04:00:00,2016-05-04 05:00:00,"gi4","Withams Road",57.375
"144",2016-05-04 05:00:00,2016-05-04 06:00:00,"gi4","Withams Road",38.25
"145",2016-05-04 06:00:00,2016-05-04 07:00:00,"gi4","Withams Road",63.1125
"146",2016-05-04 07:00:00,2016-05-04 08:00:00,"gi4","Withams Road",78.4125
"147",2016-05-04 08:00:00,2016-05-04 09:00:00,"gi4","Withams Road",65.025
"148",2016-05-04 09:00:00,2016-05-04 10:00:00,"gi4","Withams Road",68.85
"149",2016-05-04 10:00:00,2016-05-04 11:00:00,"gi4","Withams Road",99.45
"150",2016-05-04 11:00:00,2016-05-04 12:00:00,"gi4","Withams Road",82.2375
"151",2016-05-04 12:00:00,2016-05-04 13:00:00,"gi4","Withams Road",59.2875
"152",2016-05-04 13:00:00,2016-05-04 14:00:00,"gi4","Withams Road",86.0625
"153",2016-05-04 14:00:00,2016-05-04 15:00:00,"gi4","Withams Road",116.6625
"154",2016-05-04 15:00:00,2016-05-04 16:00:00,"gi4","Withams Road",105.1875
"155",2016-05-04 16:00:00,2016-05-04 17:00:00,"gi4","Withams Road",89.8875
"156",2016-05-04 17:00:00,2016-05-04 18:00:00,"gi4","Withams Road",65.025
"157",2016-05-04 18:00:00,2016-05-04 19:00:00,"gi4","Withams Road",87.975
"158",2016-05-04 19:00:00,2016-05-04 20:00:00,"gi4","Withams Road",133.875
"159",2016-05-04 20:00:00,2016-05-04 21:00:00,"gi4","Withams Road",110.925
"160",2016-05-04 21:00:00,2016-05-04 22:00:00,"gi4","Withams Road",47.8125
"161",2016-05-04 22:00:00,2016-05-04 23:00:00,"gi4","Withams Road",32.5125
"162",2016-05-05 00:00:00,2016-05-05 01:00:00,"gi4","Withams Road",11.475
"163",2016-05-05 01:00:00,2016-05-05 02:00:00,"gi4","Withams Road",5.7375
"164",2016-05-05 02:00:00,2016-05-05 03:00:00,"gi4","Withams Road",3.825
"165",2016-05-05 03:00:00,2016-05-05 04:00:00,"gi4","Withams Road",9.5625
"166",2016-05-05 04:00:00,2016-05-05 05:00:00,"gi4","Withams Road",3.825
"167",2016-05-05 05:00:00,2016-05-05 06:00:00,"gi4","Withams Road",28.6875
"168",2016-05-05 06:00:00,2016-05-05 07:00:00,"gi4","Withams Road",78.4125
"169",2016-05-05 07:00:00,2016-05-05 08:00:00,"gi4","Withams Road",101.3625
"170",2016-05-05 08:00:00,2016-05-05 09:00:00,"gi4","Withams Road",86.0625
"171",2016-05-05 09:00:00,2016-05-05 10:00:00,"gi4","Withams Road",42.075
"172",2016-05-05 10:00:00,2016-05-05 11:00:00,"gi4","Withams Road",89.8875
"173",2016-05-05 11:00:00,2016-05-05 12:00:00,"gi4","Withams Road",57.375
"174",2016-05-05 12:00:00,2016-05-05 13:00:00,"gi4","Withams Road",32.5125
"175",2016-05-05 13:00:00,2016-05-05 14:00:00,"gi4","Withams Road",57.375
"176",2016-05-05 14:00:00,2016-05-05 15:00:00,"gi4","Withams Road",103.275
"177",2016-05-05 15:00:00,2016-05-05 16:00:00,"gi4","Withams Road",89.8875
"178",NA,NA,"gi4","Withams Road",11.475
"179",2016-04-28 00:00:00,2016-04-28 01:00:00,"gib1","Rosia Road",51.6375
"180",2016-04-28 01:00:00,2016-04-28 02:00:00,"gib1","Rosia Road",13.3875
"181",2016-04-28 02:00:00,2016-04-28 03:00:00,"gib1","Rosia Road",28.6875
"182",2016-04-28 03:00:00,2016-04-28 04:00:00,"gib1","Rosia Road",47.8125
"183",2016-04-28 04:00:00,2016-04-28 05:00:00,"gib1","Rosia Road",24.8625
"184",2016-04-28 05:00:00,2016-04-28 06:00:00,"gib1","Rosia Road",36.3375
"185",2016-04-28 06:00:00,2016-04-28 07:00:00,"gib1","Rosia Road",38.25
"186",2016-04-28 07:00:00,2016-04-28 08:00:00,"gib1","Rosia Road",53.55
"187",2016-04-28 08:00:00,2016-04-28 09:00:00,"gib1","Rosia Road",38.25
"188",2016-04-28 09:00:00,2016-04-28 10:00:00,"gib1","Rosia Road",40.1625
"189",2016-04-28 10:00:00,2016-04-28 11:00:00,"gib1","Rosia Road",36.3375
"190",2016-04-28 11:00:00,2016-04-28 12:00:00,"gib1","Rosia Road",53.55
"191",2016-04-28 12:00:00,2016-04-28 13:00:00,"gib1","Rosia Road",65.025
"192",2016-04-28 13:00:00,2016-04-28 14:00:00,"gib1","Rosia Road",45.9
"193",2016-04-28 14:00:00,2016-04-28 15:00:00,"gib1","Rosia Road",57.375
"194",2016-04-28 15:00:00,2016-04-28 16:00:00,"gib1","Rosia Road",49.725
"195",2016-04-28 16:00:00,2016-04-28 17:00:00,"gib1","Rosia Road",43.9875
"196",2016-04-28 17:00:00,2016-04-28 18:00:00,"gib1","Rosia Road",42.075
"197",2016-04-28 18:00:00,2016-04-28 19:00:00,"gib1","Rosia Road",40.1625
"198",2016-04-28 19:00:00,2016-04-28 20:00:00,"gib1","Rosia Road",43.9875
"199",2016-04-28 20:00:00,2016-04-28 21:00:00,"gib1","Rosia Road",38.25
"200",2016-04-28 21:00:00,2016-04-28 22:00:00,"gib1","Rosia Road",26.775
"201",2016-04-28 22:00:00,2016-04-28 23:00:00,"gib1","Rosia Road",15.3
"202",2016-04-29 00:00:00,2016-04-29 01:00:00,"gib1","Rosia Road",26.775
"203",2016-04-29 01:00:00,2016-04-29 02:00:00,"gib1","Rosia Road",47.8125
"204",2016-04-29 02:00:00,2016-04-29 03:00:00,"gib1","Rosia Road",26.775
"205",2016-04-29 03:00:00,2016-04-29 04:00:00,"gib1","Rosia Road",15.3
"206",2016-04-29 04:00:00,2016-04-29 05:00:00,"gib1","Rosia Road",13.3875
"207",2016-04-29 05:00:00,2016-04-29 06:00:00,"gib1","Rosia Road",24.8625
"208",2016-04-29 06:00:00,2016-04-29 07:00:00,"gib1","Rosia Road",40.1625
"209",2016-04-29 07:00:00,2016-04-29 08:00:00,"gib1","Rosia Road",40.1625
"210",2016-04-29 08:00:00,2016-04-29 09:00:00,"gib1","Rosia Road",36.3375
"211",2016-04-29 09:00:00,2016-04-29 10:00:00,"gib1","Rosia Road",28.6875
"212",2016-04-29 10:00:00,2016-04-29 11:00:00,"gib1","Rosia Road",36.3375
"213",2016-04-29 11:00:00,2016-04-29 12:00:00,"gib1","Rosia Road",42.075
"214",2016-04-29 12:00:00,2016-04-29 13:00:00,"gib1","Rosia Road",36.3375
"215",2016-04-29 13:00:00,2016-04-29 14:00:00,"gib1","Rosia Road",45.9
