"","modelbaseversion","suppliercountry","suppliernationalidentifier","publicationlanguage","publicationtime","publicationcountry","publicationnationalidentifier","confidentiality","informationstatus","locationsetreference","elaborateddataid","suppliercalculateddataquality","openlrbinary","predefinedlocationreference","freeflowspeed","freeflowtraveltime","traveltime","averagespeed"
"75",1,"nl","TomTom Traffic Service","en",2016-05-07 00:43:30,"other","76624715-56b0-46f7-a8cc-567fb22069cecd279b1","internalUse","real","","Obfc325019b551a2150440f4ce",92,"C/wyUBm1UQohBQBEAPQMDg==","OpenLR",0,0,0,0
"76",1,"nl","TomTom Traffic Service","en",2016-05-07 00:43:30,"other","76624715-56b0-46f7-a8cc-567fb22069cecd279b1","internalUse","real","","Obfc325019b551b304ffe8ff27b0",81,"C/wyUBm1UQswBP/o/ycLAA==","OpenLR",0,0,0,0
"77",1,"nl","TomTom Traffic Service","en",2016-05-07 00:43:30,"other","76624715-56b0-46f7-a8cc-567fb22069cecd279b1","internalUse","real","","Obfc326f19b5c3b27702808cb3011",59,"C/wybxm1wwsnBwAoAIwLMBE=","OpenLR",0,0,0,0
"78",1,"nl","TomTom Traffic Service","en",2016-05-07 00:43:30,"other","76624715-56b0-46f7-a8cc-567fb22069cecd279b1","internalUse","real","","Obfc326f19b5c3c370ffeefffbc5",50,"C/wybxm1www3AP/u//sMBQ==","OpenLR",0,0,0,0
"79",1,"nl","TomTom Traffic Service","en",2016-05-07 00:59:00,"other","76624715-56b0-46f7-a8cc-567fb22069cecd279b1","internalUse","real","","Obfc2f2319b45db26d2d605cc14",50,"C/wvIxm0XQsmDQLWAFwMFA==","OpenLR",0,0,0,0
"80",1,"nl","TomTom Traffic Service","en",2016-05-07 00:59:00,"other","76624715-56b0-46f7-a8cc-567fb22069cecd279b1","internalUse","real","","Obfc30ef19b472a394fee3037c5",72,"C/ww7xm0cgo5BP7jADcMBQ==","OpenLR",0,0,0,0
"81",1,"nl","TomTom Traffic Service","en",2016-05-07 00:59:00,"other","76624715-56b0-46f7-a8cc-567fb22069cecd279b1","internalUse","real","","Obfc30ef19b472c300fffffffac0",79,"C/ww7xm0cgwwAP////oMAA==","OpenLR",0,0,0,0
"82",1,"nl","TomTom Traffic Service","en",2016-05-07 00:59:00,"other","76624715-56b0-46f7-a8cc-567fb22069cecd279b1","internalUse","real","","Obfc30f719b46da2c50ecff70c10",91,"C/ww9xm0bQosBQDs/3AMEA==","OpenLR",0,0,0,0
"83",1,"nl","TomTom Traffic Service","en",2016-05-07 00:59:00,"other","76624715-56b0-46f7-a8cc-567fb22069cecd279b1","internalUse","real","","Obfc30f719b46dc2200509c12",50,"C/ww9xm0bQwiAAAFAAkMEg==","OpenLR",0,0,0,0
"84",1,"nl","TomTom Traffic Service","en",2016-05-07 00:59:00,"other","76624715-56b0-46f7-a8cc-567fb22069cecd279b1","internalUse","real","","Obfc306a19b48cb38cfd41ff9bb6",50,"C/wwahm0jAs4DP1B/5sLBg==","OpenLR",0,0,0,0
