"","date","date_end","site","site_name","no2"
"102",2016-04-16 10:00:00,2016-04-16 11:00:00,"gi4","Withams Road",55.4625
"103",2016-04-16 11:00:00,2016-04-16 12:00:00,"gi4","Withams Road",43.9875
"104",2016-04-16 12:00:00,2016-04-16 13:00:00,"gi4","Withams Road",53.55
"105",2016-04-16 13:00:00,2016-04-16 14:00:00,"gi4","Withams Road",65.025
"106",2016-04-16 14:00:00,2016-04-16 15:00:00,"gi4","Withams Road",40.1625
"107",2016-04-16 15:00:00,2016-04-16 16:00:00,"gi4","Withams Road",101.3625
"108",2016-04-16 16:00:00,2016-04-16 17:00:00,"gi4","Withams Road",34.425
"109",2016-04-16 17:00:00,2016-04-16 18:00:00,"gi4","Withams Road",24.8625
"110",2016-04-16 18:00:00,2016-04-16 19:00:00,"gi4","Withams Road",57.375
"111",2016-04-16 19:00:00,2016-04-16 20:00:00,"gi4","Withams Road",57.375
"112",2016-04-16 20:00:00,2016-04-16 21:00:00,"gi4","Withams Road",13.3875
"113",2016-04-16 21:00:00,2016-04-16 22:00:00,"gi4","Withams Road",26.775
"114",2016-04-16 22:00:00,2016-04-16 23:00:00,"gi4","Withams Road",19.125
"115",2016-04-17 00:00:00,2016-04-17 01:00:00,"gi4","Withams Road",13.3875
"116",2016-04-17 01:00:00,2016-04-17 02:00:00,"gi4","Withams Road",15.3
"117",2016-04-17 02:00:00,2016-04-17 03:00:00,"gi4","Withams Road",22.95
"118",2016-04-17 03:00:00,2016-04-17 04:00:00,"gi4","Withams Road",5.7375
"119",2016-04-17 04:00:00,2016-04-17 05:00:00,"gi4","Withams Road",7.65
"120",2016-04-17 05:00:00,2016-04-17 06:00:00,"gi4","Withams Road",19.125
"121",2016-04-17 06:00:00,2016-04-17 07:00:00,"gi4","Withams Road",32.5125
"122",2016-04-17 07:00:00,2016-04-17 08:00:00,"gi4","Withams Road",32.5125
"123",2016-04-17 08:00:00,2016-04-17 09:00:00,"gi4","Withams Road",30.6
"124",2016-04-17 09:00:00,2016-04-17 10:00:00,"gi4","Withams Road",26.775
"125",2016-04-17 10:00:00,2016-04-17 11:00:00,"gi4","Withams Road",28.6875
"126",2016-04-17 11:00:00,2016-04-17 12:00:00,"gi4","Withams Road",13.3875
"127",2016-04-17 12:00:00,2016-04-17 13:00:00,"gi4","Withams Road",24.8625
"128",2016-04-17 13:00:00,2016-04-17 14:00:00,"gi4","Withams Road",26.775
"129",2016-04-17 14:00:00,2016-04-17 15:00:00,"gi4","Withams Road",15.3
"130",2016-04-17 15:00:00,2016-04-17 16:00:00,"gi4","Withams Road",21.0375
"131",2016-04-17 16:00:00,2016-04-17 17:00:00,"gi4","Withams Road",36.3375
"132",2016-04-17 17:00:00,2016-04-17 18:00:00,"gi4","Withams Road",30.6
"133",2016-04-17 18:00:00,2016-04-17 19:00:00,"gi4","Withams Road",42.075
"134",2016-04-17 19:00:00,2016-04-17 20:00:00,"gi4","Withams Road",55.4625
"135",2016-04-17 20:00:00,2016-04-17 21:00:00,"gi4","Withams Road",15.3
"136",2016-04-17 21:00:00,2016-04-17 22:00:00,"gi4","Withams Road",28.6875
"137",2016-04-17 22:00:00,2016-04-17 23:00:00,"gi4","Withams Road",68.85
"138",2016-04-18 00:00:00,2016-04-18 01:00:00,"gi4","Withams Road",55.4625
"139",2016-04-18 01:00:00,2016-04-18 02:00:00,"gi4","Withams Road",47.8125
"140",2016-04-18 02:00:00,2016-04-18 03:00:00,"gi4","Withams Road",42.075
"141",2016-04-18 03:00:00,2016-04-18 04:00:00,"gi4","Withams Road",49.725
"142",2016-04-18 04:00:00,2016-04-18 05:00:00,"gi4","Withams Road",61.2
"143",2016-04-18 05:00:00,2016-04-18 06:00:00,"gi4","Withams Road",66.9375
"144",2016-04-18 06:00:00,2016-04-18 07:00:00,"gi4","Withams Road",55.4625
"145",2016-04-18 07:00:00,2016-04-18 08:00:00,"gi4","Withams Road",65.025
"146",2016-04-18 08:00:00,2016-04-18 09:00:00,"gi4","Withams Road",74.5875
"147",2016-04-18 09:00:00,2016-04-18 10:00:00,"gi4","Withams Road",59.2875
"148",2016-04-18 10:00:00,2016-04-18 11:00:00,"gi4","Withams Road",61.2
"149",2016-04-18 11:00:00,2016-04-18 12:00:00,"gi4","Withams Road",70.7625
"150",2016-04-18 12:00:00,2016-04-18 13:00:00,"gi4","Withams Road",61.2
"151",2016-04-18 13:00:00,2016-04-18 14:00:00,"gi4","Withams Road",47.8125
"152",2016-04-18 14:00:00,2016-04-18 15:00:00,"gi4","Withams Road",51.6375
"153",2016-04-18 15:00:00,2016-04-18 16:00:00,"gi4","Withams Road",53.55
"154",2016-04-18 16:00:00,2016-04-18 17:00:00,"gi4","Withams Road",55.4625
"155",2016-04-18 17:00:00,2016-04-18 18:00:00,"gi4","Withams Road",66.9375
"156",2016-04-18 18:00:00,2016-04-18 19:00:00,"gi4","Withams Road",34.425
"157",2016-04-18 19:00:00,2016-04-18 20:00:00,"gi4","Withams Road",70.7625
"158",2016-04-18 20:00:00,2016-04-18 21:00:00,"gi4","Withams Road",84.15
"159",2016-04-18 21:00:00,2016-04-18 22:00:00,"gi4","Withams Road",55.4625
"160",2016-04-18 22:00:00,2016-04-18 23:00:00,"gi4","Withams Road",45.9
"161",2016-04-19 00:00:00,2016-04-19 01:00:00,"gi4","Withams Road",21.0375
"162",2016-04-19 01:00:00,2016-04-19 02:00:00,"gi4","Withams Road",28.6875
"163",2016-04-19 02:00:00,2016-04-19 03:00:00,"gi4","Withams Road",13.3875
"164",2016-04-19 03:00:00,2016-04-19 04:00:00,"gi4","Withams Road",1.9125
"165",2016-04-19 04:00:00,2016-04-19 05:00:00,"gi4","Withams Road",1.9125
"166",2016-04-19 05:00:00,2016-04-19 06:00:00,"gi4","Withams Road",1.9125
"167",2016-04-19 06:00:00,2016-04-19 07:00:00,"gi4","Withams Road",5.7375
"168",2016-04-19 07:00:00,2016-04-19 08:00:00,"gi4","Withams Road",7.65
"169",2016-04-19 08:00:00,2016-04-19 09:00:00,"gi4","Withams Road",22.95
"170",2016-04-19 09:00:00,2016-04-19 10:00:00,"gi4","Withams Road",36.3375
"171",2016-04-19 10:00:00,2016-04-19 11:00:00,"gi4","Withams Road",26.775
"172",2016-04-19 11:00:00,2016-04-19 12:00:00,"gi4","Withams Road",11.475
"173",2016-04-19 12:00:00,2016-04-19 13:00:00,"gi4","Withams Road",1.9125
"174",2016-04-19 13:00:00,2016-04-19 14:00:00,"gi4","Withams Road",22.95
"175",2016-04-19 14:00:00,2016-04-19 15:00:00,"gi4","Withams Road",5.7375
"176",2016-04-19 15:00:00,2016-04-19 16:00:00,"gi4","Withams Road",13.3875
"177",2016-04-19 16:00:00,2016-04-19 17:00:00,"gi4","Withams Road",11.475
"178",2016-04-19 17:00:00,2016-04-19 18:00:00,"gi4","Withams Road",3.825
"179",2016-04-19 18:00:00,2016-04-19 19:00:00,"gi4","Withams Road",3.825
"180",2016-04-19 19:00:00,2016-04-19 20:00:00,"gi4","Withams Road",5.7375
"181",2016-04-19 20:00:00,2016-04-19 21:00:00,"gi4","Withams Road",5.7375
"182",2016-04-19 21:00:00,2016-04-19 22:00:00,"gi4","Withams Road",15.3
"183",2016-04-19 22:00:00,2016-04-19 23:00:00,"gi4","Withams Road",17.2125
